Title,IMDb Link
Boyhood,https://www.imdb.com/title/tt1065073/?ref_=sr_i_301
The Deer Hunter,https://www.imdb.com/title/tt0077416/?ref_=sr_i_302
Moonrise Kingdom,https://www.imdb.com/title/tt1748122/?ref_=sr_i_303
John Wick: Chapter 4,https://www.imdb.com/title/tt10366206/?ref_=sr_i_304
True Grit,https://www.imdb.com/title/tt1403865/?ref_=sr_i_305
Once Upon a Time in the West,https://www.imdb.com/title/tt0064116/?ref_=sr_i_306
Chinatown,https://www.imdb.com/title/tt0071315/?ref_=sr_i_307
Being John Malkovich,https://www.imdb.com/title/tt0120601/?ref_=sr_i_308
Marriage Story,https://www.imdb.com/title/tt7653254/?ref_=sr_i_309
North by Northwest,https://www.imdb.com/title/tt0053125/?ref_=sr_i_310
Before Sunrise,https://www.imdb.com/title/tt0112471/?ref_=sr_i_311
Your Name.,https://www.imdb.com/title/tt5311514/?ref_=sr_i_312
50/50,https://www.imdb.com/title/tt1306980/?ref_=sr_i_313
Pride & Prejudice,https://www.imdb.com/title/tt0414387/?ref_=sr_i_314
Scent of a Woman,https://www.imdb.com/title/tt0105323/?ref_=sr_i_315
Gone with the Wind,https://www.imdb.com/title/tt0031381/?ref_=sr_i_316
Apocalypto,https://www.imdb.com/title/tt0472043/?ref_=sr_i_317
Donnie Brasco,https://www.imdb.com/title/tt0119008/?ref_=sr_i_318
Grave of the Fireflies,https://www.imdb.com/title/tt0095327/?ref_=sr_i_319
To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/?ref_=sr_i_320
3:10 to Yuma,https://www.imdb.com/title/tt0381849/?ref_=sr_i_321
The Untouchables,https://www.imdb.com/title/tt0094226/?ref_=sr_i_322
"O Brother, Where Art Thou?",https://www.imdb.com/title/tt0190590/?ref_=sr_i_323
Magnolia,https://www.imdb.com/title/tt0175880/?ref_=sr_i_324
Call Me by Your Name,https://www.imdb.com/title/tt5726616/?ref_=sr_i_325
Gattaca,https://www.imdb.com/title/tt0119177/?ref_=sr_i_326
Poor Things,https://www.imdb.com/title/tt14230458/?ref_=sr_i_327
Lucky Number Slevin,https://www.imdb.com/title/tt0425210/?ref_=sr_i_328
The Fugitive,https://www.imdb.com/title/tt0106977/?ref_=sr_i_329
Manchester by the Sea,https://www.imdb.com/title/tt4034228/?ref_=sr_i_330
Mulan,https://www.imdb.com/title/tt0120762/?ref_=sr_i_331
As Good as It Gets,https://www.imdb.com/title/tt0119822/?ref_=sr_i_332
Lawrence of Arabia,https://www.imdb.com/title/tt0056172/?ref_=sr_i_333
Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/?ref_=sr_i_334
The Wrestler,https://www.imdb.com/title/tt1125849/?ref_=sr_i_335
Apollo 13,https://www.imdb.com/title/tt0112384/?ref_=sr_i_336
Halloween,https://www.imdb.com/title/tt0077651/?ref_=sr_i_337
Atonement,https://www.imdb.com/title/tt0783233/?ref_=sr_i_338
The Goonies,https://www.imdb.com/title/tt0089218/?ref_=sr_i_339
Serenity,https://www.imdb.com/title/tt0379786/?ref_=sr_i_340
Almost Famous,https://www.imdb.com/title/tt0181875/?ref_=sr_i_341
Gone Baby Gone,https://www.imdb.com/title/tt0452623/?ref_=sr_i_342
A Few Good Men,https://www.imdb.com/title/tt0104257/?ref_=sr_i_343
Before Sunset,https://www.imdb.com/title/tt0381681/?ref_=sr_i_344
Dances with Wolves,https://www.imdb.com/title/tt0099348/?ref_=sr_i_345
Cinema Paradiso,https://www.imdb.com/title/tt0095765/?ref_=sr_i_346
Office Space,https://www.imdb.com/title/tt0151804/?ref_=sr_i_347
The Graduate,https://www.imdb.com/title/tt0061722/?ref_=sr_i_348
Toy Story 4,https://www.imdb.com/title/tt1979376/?ref_=sr_i_349
RoboCop,https://www.imdb.com/title/tt0093870/?ref_=sr_i_350
Wind River,https://www.imdb.com/title/tt5362988/?ref_=sr_i_351
Some Like It Hot,https://www.imdb.com/title/tt0053291/?ref_=sr_i_352
Road to Perdition,https://www.imdb.com/title/tt0257044/?ref_=sr_i_353
Stardust,https://www.imdb.com/title/tt0486655/?ref_=sr_i_354
Boogie Nights,https://www.imdb.com/title/tt0118749/?ref_=sr_i_355
The Sting,https://www.imdb.com/title/tt0070735/?ref_=sr_i_356
"Crouching Tiger, Hidden Dragon",https://www.imdb.com/title/tt0190332/?ref_=sr_i_357
First Blood,https://www.imdb.com/title/tt0083944/?ref_=sr_i_358
For a Few Dollars More,https://www.imdb.com/title/tt0059578/?ref_=sr_i_359
